id,keyword A,keyword C,exist_B,num_B,meaningful,keywords B
id2,school,trump,True,14, ,"[('science', 2), ('sonny', 2), ('percent', 2), ('administration', 2), ('agriculture', 2), ('obama', 2), ('year', 2), ('center', 2), ('georgia', 2), ('michelle', 2), ('monday', 2), ('perdue', 2), ('wootan', 2), ('elementary', 2)]"
id2,school,michelle,True,14, ,"[('science', 2), ('sonny', 2), ('percent', 2), ('administration', 2), ('agriculture', 2), ('obama', 2), ('year', 2), ('center', 2), ('trump', 2), ('georgia', 2), ('monday', 2), ('perdue', 2), ('wootan', 2), ('elementary', 2)]"
id2,school,cancel,False,0, ,[]
id2,school,president,False,0, ,[]
id2,obama,trump,True,14, ,"[('science', 2), ('sonny', 2), ('percent', 2), ('administration', 2), ('agriculture', 2), ('school', 2), ('year', 2), ('center', 2), ('georgia', 2), ('michelle', 2), ('monday', 2), ('perdue', 2), ('wootan', 2), ('elementary', 2)]"
id2,obama,michelle,True,14, ,"[('science', 2), ('sonny', 2), ('percent', 2), ('administration', 2), ('agriculture', 2), ('school', 2), ('year', 2), ('center', 2), ('trump', 2), ('georgia', 2), ('monday', 2), ('perdue', 2), ('wootan', 2), ('elementary', 2)]"
id2,obama,cancel,False,0, ,[]
id2,obama,president,False,0, ,[]
id2,trump,michelle,True,14, ,"[('science', 2), ('sonny', 2), ('percent', 2), ('administration', 2), ('agriculture', 2), ('school', 2), ('obama', 2), ('year', 2), ('center', 2), ('georgia', 2), ('monday', 2), ('perdue', 2), ('wootan', 2), ('elementary', 2)]"
id2,trump,cancel,False,0, ,[]
id2,trump,president,False,0, ,[]
id2,michelle,cancel,False,0, ,[]
id2,michelle,president,False,0, ,[]
id2,cancel,president,False,0, ,[]
id3,family,catch,False,0, ,[]
